Name,ProductId,PriceInRobux,IsForSale
+10 Premium Christmas Eggs,3477922700,1249,TRUE
+10 Premium Fall Eggs,3401426984,1249,TRUE
+10 Premium Golden Egg,3568827595,1249,TRUE
+10 Premium New Year's Eggs,3489363342,1249,TRUE
+10 Premium Springtide Egg,3576524860,1249,TRUE
+10 Premium Winter Eggs,3483801744,1249,TRUE
Firework Fern,3490207231,1299,TRUE
Firework Fern,3490207231,1299,TRUE
Zebrazinkle Seed,3445262332,1320,TRUE
Octobloom Seed,3461239818,1487,TRUE
+9 SUPER SEED,3249981764,1599,TRUE
Eggsnapper Seed,3568823262,1599,TRUE
Peppermint Vine,3471911127,1627,TRUE
+10 Exclusive Cosmetic Crates,3290672848,1699,TRUE
+10 Exotic Easter Seed Pack,3563674024,1699,TRUE
+10 Exotic Fall Seed Packs,3407391666,1699,TRUE
+10 Exotic Flower Seed Pack,3295548781,1699,TRUE
+10 Exotic Gem Chests,3460600736,1699,TRUE
+10 Exotic Nutty Chests,3420021044,1699,TRUE
+10 Exotic Safari Seed Packs,3449810471,1699,TRUE
+10 Exotic Spooky Chests,3438653517,1699,TRUE
+10 Super Seed,3482200241,1699,TRUE
10 Bug Eggs,3277814625,1699,TRUE
Reindeer Root Seed,3482980939,1699,TRUE
Alien Apple Seed,3546475721,1700,TRUE
Bonanza Bloom Seed,3498980651,1799,TRUE
+10 Exotic Santa's Surprise Present,3472461579,1899,TRUE
Spirit Sparkle Seed,3482982251,1999,TRUE
Rainbow Peppermint Vine Seed,3482271454,4499,TRUE
+50 Exotic Buttercup Chests,3520430331,4999,TRUE
+50 Premium Bird Eggs,3512151977,4999,TRUE
+50 Premium Carnival Eggs,3497475843,4999,TRUE
+50 Premium Christmas Egg,3478043835,4999,TRUE
+50 Premium Golden Egg,3570157250,4999,TRUE
+50 Premium New Year's Eggs,3489363344,4999,TRUE
+50 Premium Springtide Egg,3576525035,4999,TRUE
+50 Premium Winter Eggs,3483801743,4999,TRUE
+5000 Trade Tokens,3460379424,5000,TRUE
+5000 Trade Tokens,3460379424,5000,TRUE
+50 Exotic Easter Seed Pack,3570335691,6999,TRUE
+50 Exotic Santa's Surprise Present,3472461584,7450,TRUE
+1 Iconic Gnome Crate,3300962946,8000,TRUE
+10 Iconic Gnome Crate,3300962952,8000,TRUE
+3 Iconic Gnome Crate,3300962950,8000,TRUE
+25000 Trade Tokens,3460379831,25000,TRUE
+25000 Trade Tokens,3460379831,25000,TRUE
Purple Cabbage,3273005969,40900,TRUE
+1 Exotic Corrupt Chest,3345819463,99999,TRUE
+1 Premium Oasis Egg,3317459182,99999,TRUE
+1 Premium Primal Egg,3330286154,99999,TRUE
+3 Premium Oasis Egg,3317459186,99999,TRUE
+3 Premium Primal Egg,3330286155,99999,TRUE
Exotic Bug Egg,3278426597,99999,TRUE
+1 Premium Spooky Egg,3427163857,999999,TRUE
+1 Premium Safari Egg,3444449487,9999999,TRUE
+10 Premium Safari Eggs,3444449486,9999999,TRUE
+10 Premium Spooky Eggs,3427163853,9999999,TRUE
+3 Premium Safari Eggs,3444449485,9999999,TRUE
+1 Sprout Basket,3379593726,99999999,TRUE
+1 Exotic Ancient Seed Pack,3323657553,999999999,TRUE
+1 Exotic Crafters Seed Pack,3306352279,999999999,TRUE
+1 Exotic Culinarian Chest,3362680911,999999999,TRUE
+1 Exotic Enchanted Chest,3394224231,999999999,TRUE
+1 Exotic Flower Seed Pack,3295548770,999999999,TRUE
+1 Exotic Gourmet Seed Pack,3354839803,999999999,TRUE
+1 Exotic Skyroot Chest,3379038157,999999999,TRUE
+1 Exotic Sprout Seed Pack,3371226353,999999999,TRUE
+1 Exotic Summer Seed Pack,3311388942,999999999,TRUE
+1 Exotic Zen Seed Pack,3338826792,999999999,TRUE
+10 Exotic Ancient Seed Packs,3323657552,999999999,TRUE
+10 Exotic Corrupt Chests,3345819472,999999999,TRUE
+10 Exotic Crafters Seed Pack,3306352284,999999999,TRUE
+10 Exotic Culinarian Chests,3362680916,999999999,TRUE
+10 Exotic Enchanted Chests,3394224237,999999999,TRUE
+10 Exotic Enchanted Seed Pack,3387753638,999999999,TRUE
+10 Exotic Gourmet Seed Packs,3354839817,999999999,TRUE
+10 Exotic Skyroot Chests,3379038159,999999999,TRUE
+10 Exotic Sprout Seed Packs,3371226363,999999999,TRUE
+10 Exotic Summer Seed Pack,3311388948,999999999,TRUE
+10 Exotic Zen Seed Pack,3338826790,999999999,TRUE
+10 Premium Anti Bee Egg,3301567960,999999999,TRUE
+10 Premium Oasis Egg,3317459188,999999999,TRUE
+10 Premium Primal Egg,3330286148,999999999,TRUE
+3 Exotic Corrupt Chests,3345819470,999999999,TRUE
+3 Exotic Crafters Seed Pack,3306352283,999999999,TRUE
+3 Exotic Culinarian Chests,3362680917,999999999,TRUE
+3 Exotic Enchanted Chests,3394224239,999999999,TRUE
+3 Exotic Enchanted Seed Pack,3387753634,999999999,TRUE
+3 Exotic Flower Seed Pack,3295548782,999999999,TRUE
+3 Exotic Gourmet Seed Packs,3354839826,999999999,TRUE
+3 Exotic Skyroot Chests,3379038152,999999999,TRUE
+3 Exotic Sprout Seed Packs,3371226360,999999999,TRUE
+3 Exotic Summer Seed Pack,3311388951,999999999,TRUE
+3 Exotic Zen Seed Pack,3338826791,999999999,TRUE
+3 Premium Spooky Eggs,3427163854,999999999,TRUE
10 Premium Night Eggs,3282157312,999999999,TRUE
10 Premium Night Seed Packs,3282157462,999999999,TRUE
10 Premium Seed Packs,3273679012,999999999,TRUE
Open 1 - Exotic Seed Pack,3267528421,999999999,TRUE
Open 10 - Exotic Seed Pack,3267548161,999999999,TRUE
Open 3 - Exotic Seed Pack,3267548052,999999999,TRUE
